iso2c	Country	Year	AG.YLD.CREL.KG	EG.IMP.CONS.ZS	EG.USE.COMM.FO.ZS	FI.RES.TOTL.CD	MS.MIL.MPRT.KD	NY.GDP.PCAP.CD	SH.DYN.MORT	TX.VAL.MRCH.CD.WT	GDPPCKD	AG.PRD.CREL.MT	SP.POP.DPND	SP.POP.TOTL	EN.URB.LCTY.UR.ZS	SP.URB.TOTL.IN.ZS	SP.DYN.TFRT.IN	AG.LND.AGRI.ZS	EN.ATM.CO2E.PC	EG.USE.ELEC.KH.PC
CN	China	1984	3954.892	-6.19189703233464	71.17627171946	21281444019.7873	7.1e+07	248.288908196838	53.7	2.6139e+10	305.90450583093	362820018	59.105489565409	1036825000	2.90030777253334	22.1708	2.769	49.5997821476893	1.75044806018373	336.411641308803
CN	China	1985	3820.497	-7.49175977795564	71.5812247860377	16881048465.4579	1.1e+08	291.774490693116	53.1	2.735e+10	342.50581667492	336761042	57.5385248058698	1051040000	2.84789557393537	22.874	2.811	51.165702841729	1.87105479144466	362.812071852641
CN	China	1986	3889.887	-6.51751029297788	72.2346939640357	16417424035.4	1.7e+07	279.185106667223	53	3.0942e+10	367.14460873378	349163856	56.3219778107757	1066790000	2.79442975149355	23.5876	2.826	51.7777692009151	1.93943425697654	391.351624968363
CN	China	1987	3973.112	-4.31387766568735	73.2460892459221	22453016123.4	6.2e+07	249.412791097047	53.2	3.9437e+10	403.21527996848	356365875	55.4142602052855	1084035000	2.74129206502537	24.3012	2.806	52.4647758973006	2.03841068876927	426.554493166734
CN	China	1988	3930.558	-2.93983646967052	74.2423740294403	23751516912	8.3e+07	280.967861479462	53.6	4.7516e+10	441.61081017308	348996930	54.7700136701388	1101630000	2.69141032514815	25.0148	2.745	53.0563649969659	2.1509052249848	461.797518222997
CN	China	1989	4014.682	-5.95464253478999	74.3263968744343	23052563425.6	1.26e+08	307.489992603807	53.9	5.2538e+10	452.72236821188	364819680	54.3266268542138	1118650000	2.64642897806235	25.7284	2.644	53.6898735127184	2.15307791087471	487.373173021052
CN	China	1990	4320.943	-1.16778277354502	75.7088244747147	34475663084	2.15e+08	314.430600460659	54	6.2091e+10	463.08092208215	401934965	54.0260738944888	1135185000	2.60619855796362	26.442	2.506	54.2263562700082	2.16770307659104	510.563476437761
CN	China	1991	4226.791	-4.56713212726297	74.831716255382	48165018404.7	2.45e+08	329.749088658346	53.6	7.191e+10	498.83149520754	395663003	53.8566251129814	1150780000	2.61988784909241	27.3458	2.342	54.7735601055812	2.24590127565651	548.898138653783
CN	China	1992	4362.457	-3.0987222048826	75.43180574	24852632500	1.265e+09	362.80841404621	52.6	8.494e+10	562.72671553666	401702616	53.7870179665365	1164970000	2.64038461357455	28.2496	2.171	55.3205495195885	2.31420729031649	604.596684893173
CN	China	1993	4562.11	-0.44288836529107	76.4686594985509	27348105440.32	1.195e+09	373.800022881605	51.1	9.1744e+10	634.17577954801	405173951	53.7198159260542	1178440000	2.66540591322753	29.1534	2.009	55.648936147402	2.44280065934625	662.537761786769
